House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
2,Bletchley Avenue,Kelly,Ahmed,47,Daughter,Single,Female,"Accountant, chartered public finance",None,Christian
3,Bletchley Avenue,Beth,Hunt,19,Head,Divorced,Female,University Student,None,No Religion
4,Bletchley Avenue,Georgia,Anderson,49,Head,Married,Female,"Journalist, magazine",None,No Religion
4,Bletchley Avenue,Thomas,Anderson,44,Husband,Married,Male,"Surveyor, planning and development",None,No Religion
4,Bletchley Avenue,Charlotte,Knight-Anderson,30,Daughter,Divorced,Female,Medical secretary,None,No Religion
4,Bletchley Avenue,Carolyn,Knight-Anderson,29,Daughter,Single,Female,"Civil engineer, consulting",None,No Religion
4,Bletchley Avenue,Joel,Knight-Anderson,25,Son,Single,Male,Occupational therapist,None,No Religion
5,Bletchley Avenue,Marian,Mann,71,Head,Widowed,Female,"Retired Engineer, biomedical",None,Christian
6,Bletchley Avenue,Jenna,Donnelly,44,Head,Married,Female,Unemployed,None,No Religion
6,Bletchley Avenue,Robin,Donnelly,49,Husband,Married,Male,"Engineer, chemical",None,No Religion
6,Bletchley Avenue,Chloe,Donnelly,10,Daughter,NA,Female,Student,None,No Religion
6,Bletchley Avenue,Donald,Donnelly,6,Son,NA,Male,Student,None,No Religion
6,Bletchley Avenue,Timothy,O'Donnell,5,Son,NA,Male,Student,None,No Religion
6,Bletchley Avenue,Brenda,O'Donnell,3,Daughter,NA,Female,Child,None,No Religion
7,Bletchley Avenue,Angela,Alexander,56,Head,Married,Female,Health and safety adviser,None,Christian
7,Bletchley Avenue,Duncan,Alexander,58,Husband,Married,Male,Unemployed,None,No Religion
8,Bletchley Avenue,Gillian,Fletcher,77,Head,Widowed,Female,"Retired Pharmacist, community",None,Christian
8,Bletchley Avenue,Alexander,Fletcher,18,Grandson,Single,Male,Student,None,Christian
8,Bletchley Avenue,Conor,Fletcher,16,Grandson,NA,Male,Student,None,NA
9,Bletchley Avenue,Anne,Willis,72,Head,Divorced,Female,Retired Banker,None,Christian
9,Bletchley Avenue,Alison,Willis,45,Daughter,Divorced,Female,"Accountant, chartered certified",None,Christian
9,Bletchley Avenue,Stewart,Willis,41,Son,Divorced,Male,Surgeon,None,Christian
1,Coronation Crescent,Samuel,Barnes,24,Head,Single,Male,"Engineer, agricultural",None,Christian
2,Coronation Crescent,Sarah,Farmer,45,Head,Divorced,Female,Unemployed,None,Christian
2,Coronation Crescent,Darren,Farmer,2,Son,NA,Male,Child,None,NA
2,Coronation Crescent,Nicholas,Farmer,2,Son,NA,Male,Child,None,NA
2,Coronation Crescent,Eric,Allen,38,Lodger,Single,Male,Social worker,None,Christian
3,Coronation Crescent,Craig,Williams,83,Head,Married,Male,Retired Trading standards officer,None,Christian
3,Coronation Crescent,Tina,Williams,84,Wife,Married,Female,Retired Ergonomist,None,No Religion
4,Coronation Crescent,Joanne,Hill,37,Head,Single,Female,Charity fundraiser,None,No Religion
5,Coronation Crescent,Alexander,Simmons,84,Head,Married,Male,Retired Volunteer coordinator,None,Christian
5,Coronation Crescent,Susan,Simmons,82,Wife,Married,Female,Retired Air cabin crew,None,Christian
6,Coronation Crescent,Frances,Gray,50,Head,Married,Female,Systems developer,None,Christian
6,Coronation Crescent,Joshua,Gray,55,Husband,Married,Male,"Engineer, materials",None,No Religion
7,Coronation Crescent,Keith,Smith,82,Head,Married,Male,"Retired Librarian, academic",None,Christian
7,Coronation Crescent,Stacey,Smith,85,Wife,Married,Female,Retired Radio broadcast assistant,None,Christian
8,Coronation Crescent,Grace,Morgan,39,Head,Single,Female,Landscape architect,None,No Religion
8,Coronation Crescent,William,Grant,53,None,Single,Male,"Buyer, retail",None,Christian
9,Coronation Crescent,Diane,Lynch,47,Head,Single,Female,Sports therapist,None,No Religion
9,Coronation Crescent,Joanne,Poole,28,None,Single,Female,"Therapist, occupational",None,No Religion
1,Belle Street,Leanne,Jackson,31,Head,Single,Female,"Administrator, arts",None,No Religion
1,Belle Street,Margaret,Morris,33,None,Divorced,Female,Jewellery designer,None,No Religion
1,Belle Street,Howard,Blake,55,None,Single,Male,Unemployed,None,Christian
1,Belle Street,Amber,Webster,36,None,Single,Female,Unemployed,None,Christian
2,Belle Street,Tina,Sharpe,42,Head,Married,Female,Animator,None,No Religion
2,Belle Street,Wayne,Sharpe,47,Husband,Married,Male,Unemployed,None,No Religion
2,Belle Street,Chelsea,Sharpe,16,Adopted Daughter,NA,Female,Student,None,No Religion
2,Belle Street,Claire,Sharpe,15,Daughter,NA,Female,Student,None,No Religion
2,Belle Street,Julia,Sharpe,12,Daughter,NA,Female,Student,None,No Religion
3,Belle Street,Marc,Vincent,38,Head,Single,Male,Hydrographic surveyor,None,Christian
3,Belle Street,Catherine,Pickering,19,None,Single,Female,University Student,None,No Religion
4,Belle Street,Michael,Connolly,52,Head,Married,Male,"Engineer, materials",None,Christian
4,Belle Street,Ellie,Connolly,53,Wife,Married,Female,Special educational needs teacher,None,No Religion
5,Belle Street,Leigh,Pearson,32,Head,Widowed,Male,Solicitor,None,No Religion
6,Belle Street,Catherine,Davis,62,Head,Single,Female,"Programmer, multimedia",None,No Religion
7,Belle Street,David,Potts,40,Head,Divorced,Male,Contractor,None,Christian
8,Belle Street,Roger,Wood,73,Head,Married,Male,Retired Learning disability nurse,None,No Religion
8,Belle Street,Ruth,Wood,73,Wife,Married,Female,"Retired Designer, fashion/clothing",None,No Religion
9,Belle Street,Margaret,Williams,41,Head,Single,Female,Information systems manager,None,Christian
9,Belle Street,Georgina,McDonald,45,None,Single,Female,Product designer,None,No Religion
9,Belle Street,Vanessa,Hill,19,None,Single,Female,University Student,None,Christian
9,Belle Street,Clive,Stanley,34,None,Single,Male,Horticultural consultant,None,Christian
9,Belle Street,Linda,Short,34,None,Single,Female,Investment analyst,None,No Religion
10,Belle Street,Tracy,Cartwright,70,Head,Married,Female,Retired Theatre director,None,No Religion
10,Belle Street,Ryan,Cartwright,71,Husband,Married,Male,Retired Hospital doctor,None,No Religion
11,Belle Street,Colin,Ward,50,Head,Married,Male,"Exhibitions officer, museum/gallery",None,Christian
11,Belle Street,Ann,Ward,45,Wife,Married,Female,Textile designer,None,Christian
11,Belle Street,Norman,Lee,11,Grandson,NA,Male,Student,None,NA
12,Belle Street,Bethany,Barnes,35,Head,Divorced,Female,"Engineer, mining",None,No Religion
12,Belle Street,Adrian,Reed-Barnes,2,Son,NA,Male,Child,None,NA
12,Belle Street,Arthur,Phillips-Reed-Barnes,1,Son,NA,Male,Child,None,NA
12,Belle Street,Eleanor,Phillips-Reed-Barnes,0,Daughter,NA,Female,Child,None,NA
13,Belle Street,Teresa,Wallis,35,Head,Married,Female,Art therapist,None,Christian
13,Belle Street,Shaun,Wallis,39,Husband,Married,Male,Writer,None,Christian
13,Belle Street,Alan,Wallis,17,Son,NA,Male,Student,None,No Religion
13,Belle Street,Pamela,Wallis,14,Daughter,NA,Female,Student,None,Christian
13,Belle Street,Bethany,Wallis,9,Daughter,NA,Female,Student,None,Christian
13,Belle Street,Helen,Wallis,5,Daughter,NA,Female,Student,None,No Religion
14,Belle Street,Tracy,Martin,54,Head,Single,Female,Manufacturing systems engineer,None,Christian
14,Belle Street,Justin,Mills,56,Partner,Single,Male,Publishing copy,None,No Religion
15,Belle Street,Michelle,Johnston,43,Head,Married,Female,Advertising account executive,None,Christian
15,Belle Street,Julian,Johnston,39,Husband,Married,Male,Unemployed,None,Christian
15,Belle Street,Christian,Johnston,5,Son,NA,Male,Student,None,Christian
16,Belle Street,Norman,Greenwood,47,Head,Married,Male,"Pharmacist, community",None,No Religion
16,Belle Street,Leanne,Greenwood,46,Wife,Married,Female,"Presenter, broadcasting",None,No Religion
16,Belle Street,Joseph,Greenwood,10,Son,NA,Male,Student,None,No Religion
16,Belle Street,Marian,Greenwood,8,Daughter,NA,Female,Student,None,No Religion
17,Belle Street,Deborah,Henry,64,Head,Divorced,Female,"Teacher, adult education",None,Christian
18,Belle Street,Shirley,Watson,68,Head,Widowed,Female,"Retired Therapist, sports",None,Christian
18,Belle Street,Stewart,Bird,12,Grandson,NA,Male,Student,Mental Disability,NA
18,Belle Street,Ricky,Jones,10,Grandson,NA,Male,Student,None,NA
19,Belle Street,Kathleen,Connor,31,Head,Single,Female,Historic buildings inspector/conservation officer,None,Muslim
19,Belle Street,Glenn,Turner,54,None,Single,Male,"Editor, commissioning",None,Christian
19,Belle Street,Dylan,Fletcher,46,None,Single,Male,IT technical support officer,None,Christian
19,Belle Street,Kim,Jones,46,None,Single,Female,Dance movement psychotherapist,None,Christian
19,Belle Street,Alexandra,Rees,64,None,Single,Female,Chief Financial Officer,None,No Religion
19,Belle Street,Claire,Anderson,58,None,Single,Female,"Engineer, manufacturing",None,Christian
20,Belle Street,Lydia,Kirk,22,Head,Single,Female,University Student,None,No Religion
21,Belle Street,Lindsey,Hammond,44,Head,Divorced,Female,Unemployed,None,No Religion
21,Belle Street,Shane,Hammond,6,Son,NA,Male,Student,None,NA
22,Belle Street,Alan,Clarke,54,Head,Married,Male,Clinical research associate,None,Christian
22,Belle Street,Holly,Clarke,47,Wife,Married,Female,"Surveyor, building",None,Christian
22,Belle Street,Jenna,Clarke,14,Daughter,NA,Female,Student,None,NA
22,Belle Street,Marian,Clarke,10,Daughter,NA,Female,Student,None,NA
23,Belle Street,Alexandra,Harding,83,Head,Widowed,Female,"Retired Teacher, English as a foreign language",None,Christian
24,Belle Street,Rosie,Reynolds,57,Head,Single,Female,"Programmer, systems",None,Christian
25,Belle Street,Nigel,Jones,61,Head,Married,Male,Oceanographer,None,Christian
25,Belle Street,Sarah,Jones,59,Wife,Married,Female,Photographer,None,Christian
25,Belle Street,Janet,Jones,22,Daughter,Single,Female,University Student,None,No Religion
26,Belle Street,Lisa,Walker,41,Head,Single,Female,Unemployed,None,Christian
26,Belle Street,Geoffrey,Walker,14,Son,NA,Male,Student,None,NA
27,Belle Street,Hollie,Cole,18,Head,Single,Female,University Student,None,No Religion
27,Belle Street,Nicola,Hussain,19,None,Single,Female,University Student,None,Christian
28,Belle Street,Alex,Smith,32,Head,Single,Male,Cartographer,None,No Religion
29,Belle Street,Denis,Brown,58,Head,Single,Male,"Psychotherapist, dance movement",None,Christian
29,Belle Street,Toby,Martin,59,None,Single,Male,"Designer, fashion/clothing",None,Christian
29,Belle Street,Abbie,Hutchinson,61,None,Single,Female,Charity fundraiser,None,Christian
30,Belle Street,Maria,Watts,29,Head,Single,Female,Catering manager,None,No Religion
30,Belle Street,Peter,Bull,32,Partner,Single,Male,Unemployed,None,No Religion
30,Belle Street,Rosemary,Peacock,6,Daughter,NA,Female,Student,None,No Religion
31,Belle Street,Lauren,Anderson,49,Head,Married,Female,Arts administrator,None,No Religion
31,Belle Street,Derek,Anderson,54,Husband,Married,Male,Best boy,None,No Religion
31,Belle Street,Debra,Anderson,4,Daughter,NA,Female,Child,None,No Religion
32,Belle Street,Graham,Jones,74,Head,Widowed,Male,Retired Nature conservation officer,None,No Religion
33,Belle Street,Jodie,Lewis,63,Head,Single,Female,Freight forwarder,None,No Religion
33,Belle Street,Jason,Burke,69,Partner,Single,Male,"Retired Designer, furniture",None,No Religion
34,Belle Street,Terry,Barnett,67,Head,Married,Male,IT consultant,None,No Religion
34,Belle Street,Julia,Barnett,65,Wife,Married,Female,Pensions consultant,None,No Religion
35,Belle Street,Sylvia,Miah,46,Head,Single,Female,Television/film/video producer,None,No Religion
35,Belle Street,Roy,Gray,47,Partner,Single,Male,Cytogeneticist,None,No Religion
35,Belle Street,Toby,Miah,14,Son,NA,Male,Student,None,No Religion
35,Belle Street,Marc,Miah,11,Son,NA,Male,Student,None,No Religion
35,Belle Street,Cheryl,Miah,7,Daughter,NA,Female,Student,None,No Religion
36,Belle Street,Alan,Foster,47,Head,Divorced,Male,Records manager,None,No Religion
36,Belle Street,Andrew,Harper-Foster,43,Cousin,Divorced,Male,Fish farm manager,None,No Religion
37,Belle Street,William,Naylor,40,Head,Single,Male,"Buyer, industrial",None,Christian
38,Belle Street,Brenda,Watson,21,Head,Single,Female,University Student,None,No Religion
39,Belle Street,Denis,Patel,24,Head,Single,Male,Chief Technology Officer,None,No Religion
39,Belle Street,Jayne,Ford,20,Partner,Single,Female,University Student,None,No Religion
40,Belle Street,Joseph,Clark,28,Head,Divorced,Male,"Engineer, petroleum",None,Christian
41,Belle Street,Yvonne,Wilson,43,Head,Single,Female,Outdoor activities/education manager,None,Christian
41,Belle Street,Nigel,Hunt,41,Partner,Single,Male,Chiropodist,None,Christian
41,Belle Street,Albert,Wilson,12,Son,NA,Male,Student,None,Christian
41,Belle Street,Julie,Wilson,8,Daughter,NA,Female,Student,None,Christian
41,Belle Street,Wendy,Wilson,6,Daughter,NA,Female,Student,None,Christian
42,Belle Street,Beth,Coates,45,Head,Divorced,Female,Higher education lecturer,None,Christian
42,Belle Street,Patrick,Coates,11,Son,NA,Male,Student,None,NA
43,Belle Street,Shirley,Thomson,52,Head,Married,Female,Animal nutritionist,None,Christian
43,Belle Street,Gregory,Thomson,53,Husband,Married,Male,Industrial/product designer,None,Christian
43,Belle Street,Gillian,Thomson,26,Daughter,Single,Female,Planning and development surveyor,None,No Religion
43,Belle Street,Brandon,Thomson,14,Son,NA,Male,Student,None,Christian
44,Belle Street,Christine,Yates,27,Head,Married,Female,Estate agent,None,No Religion
44,Belle Street,Jonathan,Yates,28,Husband,Married,Male,"Conservator, furniture",None,No Religion
44,Belle Street,Christine,Yates,9,Daughter,NA,Female,Student,None,No Religion
45,Belle Street,Heather,Johnson,54,Head,Divorced,Female,Water quality scientist,None,Sikh
45,Belle Street,Carl,Johnson,13,Son,NA,Male,Student,None,NA
46,Belle Street,Susan,Elliott,38,Head,Married,Female,Print production planner,None,Christian
46,Belle Street,Mathew,Elliott,36,Husband,Married,Male,Primary school teacher,None,Christian
46,Belle Street,Lawrence,Elliott,4,Son,NA,Male,Child,None,Christian
47,Belle Street,Christine,Lewis,51,Head,Married,Female,Estate manager/land agent,None,Christian
47,Belle Street,Craig,Lewis,54,Husband,Married,Male,Commercial horticulturist,Physical Disability,No Religion
47,Belle Street,Maureen,Lewis,10,Daughter,NA,Female,Student,None,No Religion
48,Belle Street,Jade,Hughes,44,Head,Married,Female,Tourist information centre manager,None,No Religion
48,Belle Street,Abdul,Hughes,46,Husband,Married,Male,Visual merchandiser,None,No Religion
48,Belle Street,Denise,Hughes,14,Daughter,Married,Female,Student,None,
49,Belle Street,Ian,Hodgson,66,Head,Divorced,Male,"Engineer, civil (contracting)",None,No Religion
50,Belle Street,Lorraine,Allen,72,Head,Widowed,Female,"Retired Education officer, museum",None,Christian
50,Belle Street,Charles,Allen,30,Son,Single,Male,Barrister,None,Christian
50,Belle Street,Lawrence,Allen,27,Son,Single,Male,Glass blower/designer,None,No Religion
50,Belle Street,Tracy,Allen,23,Daughter,Single,Female,"Designer, exhibition/display",None,Christian
51,Belle Street,Stephanie,Chandler,24,Head,Divorced,Female,Printmaker,None,Christian
51,Belle Street,Anna,Chandler,3,Daughter,NA,Female,Child,None,NA
52,Belle Street,Chelsea,Shaw,35,Head,Single,Female,Building services engineer,None,Christian
52,Belle Street,Vanessa,Kennedy,25,None,Single,Female,"Engineer, water",None,Christian
52,Belle Street,Georgina,Heath,32,None,Single,Female,Retail manager,None,Christian
52,Belle Street,Caroline,Smith,57,None,Single,Female,"Therapist, music",None,Christian
52,Belle Street,Lauren,Flynn,27,None,Single,Female,Chief Technology Officer,None,Christian
53,Belle Street,Samuel,White,45,Head,Married,Male,Video editor,None,Christian
53,Belle Street,Amber,White,43,Wife,Married,Female,"Scientist, product/process development",None,Christian
54,Belle Street,Jacqueline,Baker,42,Head,Married,Female,Air traffic controller,None,Christian
54,Belle Street,Mohammed,Potts,44,Husband,Married,Male,Patent attorney,Mental Disability,Christian
54,Belle Street,Gregory,Baker,4,Son,NA,Male,Child,None,Christian
54,Belle Street,Ben,Jennings-Baker,0,Son,NA,Male,Child,None,Christian
55,Belle Street,Grace,Saunders,65,Head,Married,Female,"Scientist, water quality",None,Christian
55,Belle Street,Toby,Saunders,67,Husband,Married,Male,Volunteer coordinator,None,Christian
55,Belle Street,Sean,Saunders,31,Son,Single,Male,Wellsite geologist,None,Christian
56,Belle Street,Daniel,Webb,18,Head,Married,Male,Student,None,
56,Belle Street,Wendy,Webb,19,Wife,Married,Female,University Student,None,
57,Belle Street,Julia,Davies,45,Head,Single,Female,Unemployed,None,Christian
57,Belle Street,Stacey,Davies,20,Daughter,Single,Female,University Student,None,Christian
58,Belle Street,Lydia,Russell,35,Head,Single,Female,Unemployed,None,No Religion
58,Belle Street,Mohammed,Russell,1,Son,NA,Male,Child,Blind,NA
59,Belle Street,Josephine,White,77,Head,Widowed,Female,Unemployed,None,Christian
59,Belle Street,Anne,White,40,Daughter,Single,Female,Community pharmacist,None,Christian
60,Belle Street,Fiona,Lambert,35,Head,Single,Female,Public house manager,None,Christian
61,Belle Street,Carol,Murphy,66,Head,Widowed,Female,"Lecturer, higher education",None,Christian
62,Belle Street,Kimberley,Foster,85,Head,Married,Female,Retired Passenger transport manager,None,Christian
62,Belle Street,Charlie,Foster,84,Husband,Married,Male,Retired Information systems manager,None,Christian
63,Belle Street,Annette,Osborne,34,Head,Divorced,Female,"Therapist, speech and language",None,Christian
64,Belle Street,Dawn,Williams,41,Head,Single,Female,Cartographer,None,Christian
64,Belle Street,Lauren,Williams,9,Daughter,NA,Female,Student,None,NA
64,Belle Street,Stewart,Williams,5,Son,NA,Male,Student,None,NA
65,Belle Street,Joe,O'Sullivan,45,Head,Married,Male,Location manager,None,Christian
65,Belle Street,Zoe,O'Sullivan,43,Wife,Married,Female,Counsellor,None,No Religion
66,Belle Street,Stephanie,Mills,21,Head,Single,Female,University Student,None,Christian
66,Belle Street,Brett,Bailey,24,Partner,Single,Male,Occupational psychologist,None,No Religion
67,Belle Street,Kayleigh,West,78,Head,Married,Female,Retired Engineering geologist,None,No Religion
67,Belle Street,Leigh,West,81,Husband,Married,Male,Retired Energy manager,None,No Religion
68,Belle Street,Louis,Walker,46,Head,Married,Male,Quarry manager,None,Christian
68,Belle Street,Amanda,Walker,44,Wife,Married,Female,Science writer,None,Christian
69,Belle Street,Rita,James,70,Head,Widowed,Female,Retired Microbiologist,None,Christian
69,Belle Street,Tracy,James,33,Daughter,Divorced,Female,Farm manager,None,No Religion
70,Belle Street,Teresa,Cooper,51,Head,Divorced,Female,Unemployed,None,Christian
70,Belle Street,Jill,Cooper,13,Daughter,NA,Female,Student,None,NA
70,Belle Street,Mark,Cooper,12,Son,NA,Male,Student,None,NA
70,Belle Street,Colin,Cooper,10,Son,NA,Male,Student,None,NA
71,Belle Street,Raymond,Lee,65,Head,Married,Male,Sales executive,None,No Religion
71,Belle Street,Gemma,Lee,57,Wife,Married,Female,Secondary school teacher,None,No Religion
72,Belle Street,Rosie,Buckley,32,Head,Married,Female,Physiological scientist,None,No Religion
72,Belle Street,Martin,Buckley,33,Husband,Married,Male,Sports administrator,None,No Religion
72,Belle Street,Brett,Buckley,0,Son,NA,Male,Child,None,No Religion
72,Belle Street,Jack,Powell,32,Lodger,Single,Male,Equality and diversity officer,None,Christian
73,Belle Street,Joan,O'Sullivan,48,Head,Divorced,Female,Health and safety inspector,None,Christian
73,Belle Street,Paige,O'Sullivan,15,Daughter,NA,Female,Student,None,NA
74,Belle Street,Jemma,Yates,73,Head,Married,Female,Retired Insurance account manager,None,Christian
74,Belle Street,Ross,Yates,78,Husband,Married,Male,Retired Farm manager,None,Christian
74,Belle Street,Lindsey,Yates,30,Daughter,Single,Female,Tax inspector,None,Christian
74,Belle Street,Dennis,Yates,30,Son,Divorced,Male,Podiatrist,None,Christian
75,Belle Street,Edward,Clayton,41,Head,Married,Male,"Engineer, site",None,No Religion
75,Belle Street,Sara,Clayton,40,Wife,Married,Female,Health and safety inspector,None,No Religion
76,Belle Street,Shane,Rowley,23,Head,Divorced,Male,Acupuncturist,None,No Religion
77,Belle Street,Eleanor,Hayes,69,Head,Divorced,Female,"Retired Therapist, nutritional",None,No Religion
78,Belle Street,Paige,Adams,31,Head,Single,Female,Jewellery designer,None,Christian
78,Belle Street,Francis,Jones,28,Partner,Single,Male,"Merchandiser, retail",None,No Religion
78,Belle Street,Donald,Adams,7,Son,NA,Male,Student,None,No Religion
79,Belle Street,Josh,Newman,57,Head,Married,Male,"Engineer, materials",None,Christian
79,Belle Street,Charlene,Newman,55,Wife,Married,Female,Forensic scientist,None,Christian
80,Belle Street,Jean,Stephens,43,Head,Married,Female,Chartered certified accountant,None,Christian
80,Belle Street,Declan,Stephens,45,Husband,Married,Male,"Scientist, research (medical)",None,
80,Belle Street,Kieran,Stephens,18,Son,Divorced,Male,Student,None,No Religion
81,Belle Street,Howard,Watson,57,Head,Married,Male,"Secretary, company",None,Christian
81,Belle Street,Clare,Watson,51,Wife,Married,Female,Facilities manager,None,No Religion
82,Belle Street,Marian,Bennett,53,Head,Married,Female,Toxicologist,None,Christian
82,Belle Street,Connor,Bennett,55,Husband,Married,Male,Trade union research officer,None,No Religion
82,Belle Street,Megan,Bennett,25,Daughter,Single,Female,"Engineer, site",None,Christian
82,Belle Street,Howard,Bennett,22,Son,Single,Male,University Student,None,Christian
82,Belle Street,Gail,Bennett,21,Daughter,Single,Female,University Student,None,Christian
82,Belle Street,Julia,Bennett,1,Daughter,NA,Female,Child,None,Christian
83,Belle Street,Sarah,Morris,59,Head,Married,Female,Cabin crew,None,No Religion
83,Belle Street,Phillip,Morris,60,Husband,Married,Male,Psychiatrist,None,No Religion
84,Belle Street,Claire,Kennedy,22,Head,Single,Female,University Student,None,Muslim
84,Belle Street,William,Kennedy,2,Son,NA,Male,Child,None,NA
85,Belle Street,Simon,Mason,48,Head,Single,Male,"Producer, radio",None,Christian
85,Belle Street,Chloe,Robson,46,Partner,Single,Female,"Engineer, technical sales",None,Christian
86,Belle Street,Scott,Lawson,70,Head,Married,Male,Retired Academic librarian,None,Christian
86,Belle Street,Amber,Lawson,67,Wife,Married,Female,"Exhibitions officer, museum/gallery",None,Christian
86,Belle Street,Olivia,Lewis,15,Granddaughter,NA,Female,Student,None,NA
86,Belle Street,Chloe,Lewis,11,Granddaughter,NA,Female,Student,None,NA
87,Belle Street,Paula,Jones,44,Head,Married,Female,English as a second language teacher,None,No Religion
87,Belle Street,Martyn,Jones,46,Husband,Married,Male,Human resources officer,None,No Religion
87,Belle Street,Benjamin,Jones,5,Son,NA,Male,Student,None,No Religion
88,Belle Street,Donna,Matthews,54,Head,Single,Female,Unemployed,None,Christian
88,Belle Street,Marc,Matthews,27,Son,Single,Male,"Programmer, multimedia",None,Christian
89,Belle Street,Martyn,Edwards,56,Head,Single,Male,Oceanographer,None,Christian
89,Belle Street,Marilyn,Davies,28,None,Single,Female,Site engineer,None,No Religion
89,Belle Street,Jack,Lees,41,None,Single,Male,Sales promotion account executive,None,No Religion
89,Belle Street,Caroline,Ellis,46,None,Single,Female,English as a second language teacher,None,Christian
89,Belle Street,Graeme,Lees,52,None,Single,Male,Amenity horticulturist,None,Christian
90,Belle Street,Leanne,Webb,63,Head,Married,Female,"Secretary, company",None,Christian
90,Belle Street,Callum,Webb,68,Husband,Married,Male,Retired Cytogeneticist,None,Christian
90,Belle Street,Anna,Webb,30,Daughter,Single,Female,Sales promotion account executive,None,Christian
90,Belle Street,Sian,Webb,28,Daughter,Divorced,Female,Aid worker,None,No Religion
91,Belle Street,Katie,Swift,54,Head,Married,Female,Neurosurgeon,None,Christian
91,Belle Street,Brett,Swift,53,Husband,Married,Male,"Scientist, marine",None,Christian
92,Belle Street,Rita,Martin,35,Head,Married,Female,Unemployed,None,No Religion
92,Belle Street,Eric,Martin,38,Husband,Married,Male,Mental health nurse,None,No Religion
92,Belle Street,Clare,Martin,6,Daughter,NA,Female,Student,None,No Religion
93,Belle Street,Gregory,Griffin,45,Head,Married,Male,"Librarian, academic",None,Christian
93,Belle Street,Shannon,Griffin,45,Wife,Married,Female,"Horticulturist, amenity",None,Christian
94,Belle Street,Rachael,Frost,73,Head,Married,Female,"Retired Scientist, research (maths)",None,Christian
94,Belle Street,Julian,Frost,75,Husband,Married,Male,"Retired Programmer, systems",None,Christian
94,Belle Street,Terry,Dickinson-Frost,47,Son,Single,Male,Accommodation manager,None,Christian
94,Belle Street,Shaun,Dickinson-Frost,44,Son,Single,Male,"Engineer, electronics",None,Christian
94,Belle Street,Philip,Dickinson-Frost,40,Son,Single,Male,Heritage manager,None,Christian
94,Belle Street,Sophie,Dickinson-Frost,37,Daughter,Single,Female,Private music teacher,None,No Religion
95,Belle Street,Teresa,Turnbull,35,Head,Single,Female,Unemployed,None,No Religion
96,Belle Street,Paige,Davis,67,Head,Married,Female,Unemployed,None,Christian
96,Belle Street,Frank,Davis,71,Husband,Married,Male,"Retired Development worker, international aid",None,No Religion
96,Belle Street,Vincent,Davis,36,Son,Divorced,Male,"Solicitor, Scotland",None,Christian
96,Belle Street,Katy,Davis,35,Daughter,Single,Female,"Designer, furniture",None,Christian
96,Belle Street,Rhys,Davis,35,Son,Single,Male,Cytogeneticist,None,No Religion
97,Belle Street,Emily,Walton,71,Head,Widowed,Female,Retired Chiropractor,None,Christian
98,Belle Street,Kim,Robinson,50,Head,Single,Female,"Accountant, chartered",None,No Religion
99,Belle Street,Kimberley,Walker,59,Head,Married,Female,Sports administrator,None,Christian
99,Belle Street,Julian,Walker,60,Husband,Married,Male,Environmental consultant,None,No Religion
99,Belle Street,Stuart,Walker,17,Son,NA,Male,Student,None,No Religion
99,Belle Street,Aimee,Walker,13,Daughter,NA,Female,Student,None,Christian
100,Belle Street,Annette,Collier,53,Head,Single,Female,Financial trader,None,Christian
100,Belle Street,Norman,Cox,61,Partner,Single,Male,Pension scheme manager,None,Christian
100,Belle Street,Patrick,Collier,14,Son,NA,Male,Student,None,No Religion
100,Belle Street,Amelia,Collier,11,Daughter,NA,Female,Student,None,Christian
101,Belle Street,Gemma,Leach,58,Head,Single,Female,Advertising account planner,None,Christian
101,Belle Street,Victoria,Leach,40,Daughter,Single,Female,"Engineer, chemical",None,Christian
101,Belle Street,Shirley,Leach,36,Daughter,Single,Female,"Designer, jewellery",None,Christian
101,Belle Street,Jacob,Leach,34,Son,Single,Male,Technical author,None,No Religion
102,Belle Street,Gerard,Edwards,46,Head,Single,Male,Teaching laboratory technician,None,Christian
102,Belle Street,Vanessa,Bell,42,Partner,Single,Female,Barrister,None,No Religion
103,Belle Street,Lauren,Craig,48,Head,Single,Female,Biomedical scientist,None,Christian
103,Belle Street,Edward,Allen,48,Partner,Single,Male,Contractor,None,Christian
103,Belle Street,Helen,Craig,11,Daughter,NA,Female,Student,None,Christian
103,Belle Street,Rosemary,Craig,7,Daughter,NA,Female,Student,None,No Religion
103,Belle Street,Megan,Craig,7,Daughter,NA,Female,Student,None,Christian
104,Belle Street,Stephanie,Chapman,47,Head,Single,Female,"Teacher, special educational needs",None,No Religion
104,Belle Street,Diana,Bradshaw,31,None,Single,Female,Unemployed,None,Christian
105,Belle Street,Carl,Osborne,51,Head,Single,Male,"Engineer, maintenance (IT)",None,Christian
105,Belle Street,Katherine,Jones,47,Partner,Single,Female,Research scientist (life sciences),None,No Religion
106,Belle Street,Kelly,Jones,84,Head,Married,Female,"Retired Designer, television/film set",None,Christian
106,Belle Street,Gregory,Jones,88,Husband,Married,Male,"Retired Scientist, research (physical sciences)",None,Christian
107,Belle Street,Jill,George,61,Head,Married,Female,Statistician,None,Christian
107,Belle Street,Denis,George,62,Husband,Married,Male,Unemployed,None,Christian
107,Belle Street,Gordon,George,26,Son,Widowed,Male,Hydrographic surveyor,None,Christian
107,Belle Street,Judith,George,24,Daughter,Single,Female,Retail banker,None,Christian
